
2024/12/14 (09:55:10) | ===> btop++ v.1.4.0
2024/12/14 (09:55:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/14 (09:55:10) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/14 (10:50:19) | ===> btop++ v.1.4.0
2024/12/14 (10:50:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/14 (10:50:19) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/14 (10:59:12) | ===> btop++ v.1.4.0
2024/12/14 (10:59:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/14 (10:59:12) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/14 (11:12:43) | ===> btop++ v.1.4.0
2024/12/14 (11:12:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/14 (11:12:43) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/14 (11:14:41) | ===> btop++ v.1.4.0
2024/12/14 (11:14:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/14 (11:14:41) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/14 (11:14:51) | ===> btop++ v.1.4.0
2024/12/14 (11:14:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/14 (11:14:51) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/14 (11:30:15) | ===> btop++ v.1.4.0
2024/12/14 (11:30:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/14 (11:30:15) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/14 (12:12:50) | ===> btop++ v.1.4.0
2024/12/14 (12:12:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/14 (12:12:50) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/14 (13:01:05) | ===> btop++ v.1.4.0
2024/12/14 (13:01:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/14 (13:01:05) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/14 (14:24:13) | ===> btop++ v.1.4.0
2024/12/14 (14:24:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/14 (14:24:14) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/14 (19:22:08) | ===> btop++ v.1.4.0
2024/12/14 (19:22:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/14 (19:22:08) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/14 (19:28:06) | ===> btop++ v.1.4.0
2024/12/14 (19:28:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/14 (19:28:06) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/14 (20:35:48) | ===> btop++ v.1.4.0
2024/12/14 (20:35:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/14 (20:35:48) | WARNING: Intel GPU: Failed to initialize PMU
